MeasureItem,Month,Year,Category,Area,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,4,2024,Fossil Gas,BE,B04,2024-12-06 14:45:58,100,757.48302,
Monthly Domestic Values,5,2024,Fossil Gas,BE,B04,2024-12-06 14:45:58,100,722.35493,
Monthly Domestic Values,6,2024,Fossil Gas,BE,B04,2024-12-06 14:45:58,100,785.55678,
Monthly Domestic Values,7,2024,Fossil Gas,BE,B04,2024-12-06 14:45:58,100,743.18593,
Monthly Domestic Values,8,2024,Fossil Gas,BE,B04,2024-12-06 14:45:58,100,718.19189,
Monthly Domestic Values,9,2024,Fossil Gas,BE,B04,2024-12-06 14:45:58,100,707.76217,
Monthly Domestic Values,1,2024,Fossil Oil,BE,B06,2024-12-06 14:45:58,100,0.05968,
Monthly Domestic Values,2,2024,Fossil Oil,BE,B06,2024-12-06 14:45:58,100,0.02191,
Monthly Domestic Values,3,2024,Fossil Oil,BE,B06,2024-12-06 14:45:58,100,0.17107,
Monthly Domestic Values,4,2024,Fossil Oil,BE,B06,2024-12-06 14:45:58,100,0.05267,
Monthly Domestic Values,5,2024,Fossil Oil,BE,B06,2024-12-06 14:45:58,100,0.07334,
Monthly Domestic Values,6,2024,Fossil Oil,BE,B06,2024-12-06 14:45:58,100,0.12697,
Monthly Domestic Values,7,2024,Fossil Oil,BE,B06,2024-12-06 14:45:58,100,0.01093,
Monthly Domestic Values,8,2024,Fossil Oil,BE,B06,2024-12-06 14:45:58,100,0.20745,
Monthly Domestic Values,9,2024,Fossil Oil,BE,B06,2024-12-06 14:45:58,100,0.24475,
Monthly Domestic Values,1,2024,Hydro Pumped Storage,BE,B10,2024-12-06 14:45:58,100,95.85753,
Monthly Domestic Values,2,2024,Hydro Pumped Storage,BE,B10,2024-12-06 14:45:58,100,75.28354,
Monthly Domestic Values,3,2024,Hydro Pumped Storage,BE,B10,2024-12-06 14:45:58,100,109.33866,
Monthly Domestic Values,4,2024,Hydro Pumped Storage,BE,B10,2024-12-06 14:45:58,100,122.11841,
Monthly Domestic Values,5,2024,Hydro Pumped Storage,BE,B10,2024-12-06 14:45:58,100,80.67478,
Monthly Domestic Values,6,2024,Hydro Pumped Storage,BE,B10,2024-12-06 14:45:58,100,63.54122,
Monthly Domestic Values,7,2024,Hydro Pumped Storage,BE,B10,2024-12-06 14:45:58,100,83.62987,
Monthly Domestic Values,8,2024,Hydro Pumped Storage,BE,B10,2024-12-06 14:45:58,100,89.34284,
Monthly Domestic Values,9,2024,Hydro Pumped Storage,BE,B10,2024-12-06 14:45:58,100,83.3838,
Monthly Domestic Values,1,2024,Hydro Run-of-river and poundage,BE,B11,2024-12-06 14:45:58,100,30.89021,
Monthly Domestic Values,2,2024,Hydro Run-of-river and poundage,BE,B11,2024-12-06 14:45:58,100,26.3938,
Monthly Domestic Values,3,2024,Hydro Run-of-river and poundage,BE,B11,2024-12-06 14:45:58,100,34.20364,
Monthly Domestic Values,4,2024,Hydro Run-of-river and poundage,BE,B11,2024-12-06 14:45:58,100,26.55092,
Monthly Domestic Values,5,2024,Hydro Run-of-river and poundage,BE,B11,2024-12-06 14:45:58,100,28.05945,
Monthly Domestic Values,6,2024,Hydro Run-of-river and poundage,BE,B11,2024-12-06 14:45:58,100,22.3909,
Monthly Domestic Values,7,2024,Hydro Run-of-river and poundage,BE,B11,2024-12-06 14:45:58,100,16.93822,
Monthly Domestic Values,8,2024,Hydro Run-of-river and poundage,BE,B11,2024-12-06 14:45:58,100,11.15218,
Monthly Domestic Values,9,2024,Hydro Run-of-river and poundage,BE,B11,2024-12-06 14:45:58,100,12.59892,
Monthly Domestic Values,1,2024,Nuclear,BE,B14,2024-12-06 14:45:58,100,2939.85505,
Monthly Domestic Values,2,2024,Nuclear,BE,B14,2024-12-06 14:45:58,100,2685.90821,
Monthly Domestic Values,3,2024,Nuclear,BE,B14,2024-12-06 14:45:58,100,2228.8061,
Monthly Domestic Values,4,2024,Nuclear,BE,B14,2024-12-06 14:45:58,100,2100.17507,
Monthly Domestic Values,5,2024,Nuclear,BE,B14,2024-12-06 14:45:58,100,2569.66085,
Monthly Domestic Values,6,2024,Nuclear,BE,B14,2024-12-06 14:45:58,100,2580.96868,
Monthly Domestic Values,7,2024,Nuclear,BE,B14,2024-12-06 14:45:58,100,2870.77391,
Monthly Domestic Values,8,2024,Nuclear,BE,B14,2024-12-06 14:45:58,100,2744.42578,
Monthly Domestic Values,9,2024,Nuclear,BE,B14,2024-12-06 14:45:58,100,2052.36335,
Monthly Domestic Values,1,2024,Other,BE,B20,2024-12-06 14:45:58,100,612.62074,
Monthly Domestic Values,2,2024,Other,BE,B20,2024-12-06 14:45:58,100,577.04012,
Monthly Domestic Values,3,2024,Other,BE,B20,2024-12-06 14:45:58,100,609.61215,
Monthly Domestic Values,4,2024,Other,BE,B20,2024-12-06 14:45:58,100,551.10401,
Monthly Domestic Values,5,2024,Other,BE,B20,2024-12-06 14:45:58,100,542.20699,
Monthly Domestic Values,6,2024,Other,BE,B20,2024-12-06 14:45:58,100,473.46462,
Monthly Domestic Values,7,2024,Other,BE,B20,2024-12-06 14:45:58,100,418.52523,
Monthly Domestic Values,8,2024,Other,BE,B20,2024-12-06 14:45:58,100,389.84168,
Monthly Domestic Values,9,2024,Other,BE,B20,2024-12-06 14:45:58,100,426.8481,
Monthly Domestic Values,1,2024,Solar,BE,B16,2024-12-06 14:45:58,100,233.87888,
Monthly Domestic Values,2,2024,Solar,BE,B16,2024-12-06 14:45:58,100,243.90633,
